task,model,best_learning_rate,best_batch_size,best_rc_aug,mcc_mean,mcc_std,accuracy_mean,accuracy_std,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std,replicate_count
mouse_0,Mamba-bpe,0.0001,128,True,0.5067886068270757,0.01614752532253821,0.7524216496027433,0.008229659425609047,0.7456075044778677,0.013683720936113806,0.7674275728372427,0.022710304031161855,0.7270655265221229,0.038537712318255604,13
mouse_0,Mamba-char,0.0002,128,True,0.4650623112916946,0.01845051146724937,0.7313580274581909,0.00974188924658896,0.7185530662536621,0.015553481668885363,0.7543780863285064,0.012723996436791092,0.6869135737419129,0.03140109217555243,10
mouse_1,CNN,0.001,64,False,0.6370332598686218,0.008141025440821757,0.8183246850967407,0.003995536230056291,0.8157110333442688,0.002720952950719768,0.8277237057685852,0.010902581256207269,0.804211151599884,0.008573097724266449,5
mouse_1,Caduceus,0.001,128,False,0.8454885363578797,0.004837050057974591,0.922520387172699,0.002478075068105257,0.9214060723781585,0.0027530858237344615,0.9347225844860076,0.007899526678950981,0.9086002349853516,0.009725681388519609,10
mouse_1,HyenaDNA,0.0006,256,True,0.8235520899295807,0.003560530709616062,0.9112676024436951,0.0019992031417396194,0.909514170885086,0.0029953878002412157,0.9278253972530365,0.014576421653585546,0.8924080729484558,0.01785378811826731,10
mouse_1,Mamba-bpe,0.0002,256,True,0.8008165863844064,0.005546039686254798,0.8997776141533484,0.0027364244120492718,0.8971900206345779,0.003020134975164192,0.92102234180157,0.012465298098696906,0.8748745276377752,0.013442853147468967,13
mouse_1,Mamba-char,0.0002,256,True,0.7949926555156708,0.003518505519230684,0.8972127497196197,0.0016105729633559144,0.8955838143825531,0.0015371874753820308,0.9100495994091033,0.010609804611787581,0.8817912101745605,0.010866839515081588,10
mouse_2,CNN,0.001,64,False,0.57419673204422,0.022838466854560844,0.7859756231307984,0.01148869715041372,0.7855533361434937,0.01159888159627598,0.7882304430007935,0.011509171154955406,0.7859756231307984,0.01148869715041372,5
mouse_2,Caduceus,0.002,128,True,0.8449028730392456,0.016747399757775203,0.9211672629628863,0.008148200824153675,0.9210491350718907,0.008148601385931166,0.9237406509263175,0.008658499264057418,0.9211672629628863,0.008148200824153675,7
mouse_2,HyenaDNA,0.0006,128,True,0.8014865756034851,0.032049084501523224,0.8993902385234833,0.01619653003931029,0.8992133975028992,0.016280049933730428,0.9021103143692016,0.016100815047892875,0.8993902385234833,0.01619653003931029,10
mouse_2,Mamba-bpe,0.0002,128,True,0.77183742248095,0.021234836047251,0.8853189395024226,0.010745838996221979,0.8852273455032935,0.010776232616093374,0.8865202436080346,0.010519221174827266,0.8853189395024226,0.010745838996221979,13
mouse_2,Mamba-char,0.0002,128,True,0.7014353275299072,0.027420016978956453,0.84863701988669,0.013460522467265455,0.8481920081026414,0.01347462258098168,0.8528187380117529,0.014170847269273958,0.84863701988669,0.013460522467265455,17
mouse_3,CNN,0.001,64,False,0.3854711294174194,0.07442227634556346,0.6878661155700684,0.0335511591829996,0.6604853749275208,0.03859506287796533,0.729086446762085,0.07633615416500196,0.6134454011917114,0.08254992240900436,5
mouse_3,Caduceus,0.002,128,False,0.8274794518947601,0.021525613493180645,0.9112970650196075,0.01076721939613209,0.9059883117675781,0.011622476031309042,0.9594041705131531,0.022086748571339042,0.8588235378265381,0.021259008212987856,10
mouse_3,HyenaDNA,0.0006,128,True,0.73686443567276,0.04774589113794104,0.8656903743743897,0.022699785119932807,0.8586746394634247,0.022229408656483502,0.9063624501228332,0.05082553694146976,0.8184874057769775,0.03803752198324728,10
mouse_3,Mamba-bpe,0.0002,128,True,0.5878391861915588,0.0471288303278081,0.792404252749223,0.024607959427001717,0.789327832368704,0.029464449599743626,0.798965532046098,0.04051884215221285,0.7847446799278259,0.06103664182421356,13
mouse_3,Mamba-char,0.0002,128,True,0.5012147009372712,0.02834377866676947,0.7414225935935974,0.013053682410732521,0.7014611065387726,0.023619796964896026,0.8274994671344758,0.045357427299872397,0.6126050651073456,0.048589547191804604,10
mouse_4,CNN,0.001,64,False,0.3078794538974762,0.006243230029307426,0.6536378145217896,0.003173096751694078,0.643685257434845,0.008186431459940732,0.6624328017234802,0.006700450491394897,0.6263549447059631,0.01956061912689557,5
